devicenum,locationgroup,locationgroupdevicenum,location,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail
236,Intersections,119,LOUISIANA @ SURREY,,-92.004598,30.228226,,,,,,
237,Intersections,120,LOUISIANA @ SIMCOE,,-92.003017,30.230001,,,,,,
238,Intersections,121,LOUISIANA @ WILLOW,,-92.000348,30.245532,,,,,,
239,Intersections,122,LOUISIANA @ ALEXANDER,,-91.999435,30.255102,,,,,,
240,Intersections,123,WILLOW @ TEURLINGS,,-91.988932,30.244028,,,,,,
241,Intersections,124,PINHOOK @ CARMEL,,-91.992703,30.233397,,,,,,
242,Intersections,125,MOSS @ CASTILLE,,-92.005913,30.248238,,,,,,
243,Intersections,126,WILLOW @ PIERCE,,-92.017408,30.245196,,,,,,
244,Intersections,127,WILLOW @ ST ANTOINE,,-92.023368,30.245587,,,,,,
245,Intersections,128,UNIVERSITY @ LA 723 RENAUD,,-92.013821,30.254249,,,,,,
246,Intersections,129,UNIVERSITY @ I-10 EB,,-92.035713,30.250707,,,,,,
247,Intersections,130,UNIVERSITY @ I-10 WB,,-92.036362,30.251861,,,,,,
248,Intersections,131,UNIVERSITY @ WILLOW,,-92.032744,30.244492,,,,,,
249,Intersections,132,AMBASSADOR @ CAMERON,,-92.062469,30.233061,,,,,,
250,Intersections,133,PINHOOK @ BENDEL,,-92.01639,30.199103,,,,,,
251,Intersections,134,CONGRESS @ DOMINGUE,,-92.08355,30.195855,,,,,,
252,Intersections,135,AMBASSADOR @ ERASTE LANDRY,,-92.075858,30.219127,,,,,,
253,Intersections,136,AMBASSADOR @ DULLES,,-92.07565,30.210529,,,,,,
254,Intersections,137,AMBASSADOR @ GUILBEAU,,-92.075254,30.202471,,,,,,
255,Intersections,138,AMBASSADOR @ CONGRESS,,-92.075205,30.195991,,,,,,
256,Intersections,139,AMBASSADOR @ RIDGE,,-92.074993,30.18133,,,,,,
257,Intersections,140,AMBASSADOR @ ROBLEY,,-92.066143,30.171169,,,,,,
